Estado,Zona_Escalada,total_zonas
Aguascalientes,El Colmillo,1
Aguascalientes,El Garruño,1
Aguascalientes,El Garabato,1
Aguascalientes,Tapias Viejas,1
Aguascalientes,Apache Boulder Zone,1
Aguascalientes,La Muela,1
Aguascalientes,El Ocote,1
Baja California Norte,Valle Azteca,1
Baja California Norte,Piedras Gordas,1
Baja California Norte,Cataviña,1
Baja California Norte,Dos Cumbres,1
Baja California Norte,Cañon El Tajo,1
Baja California Norte,La Rumorosa,1
Baja California Sur,Arroyo Cajoncito,1
Baja California Sur,La Poza,1
Baja California Sur,Cañon de la Zorra,1
Baja California Sur,Cañon Tabor,1
Chiapas,El Retiro,1
Chiapas,Peña María,1
Chiapas,Montetik,1
Chiapas,Cerro de Don Lauro,1
Chiapas,Paredes de Copoya,1
Chiapas,El Arcotete,1
Chiapas,Cañon del Sumidero,1
Chiapas,Revolución,1
Chiapas,Las Canastas,1
Chiapas,Castillo del Dragon,1
Chihuahua,El Camino Real,1
Chihuahua,Basaseachi El Gigante,1
Chihuahua,Majalca,1
Chihuahua,Peñoles,1
Chihuahua,San Antonio,1
Chihuahua,Boulderlandia,1
Ciudad de México,Los Dinamos,1
Ciudad de México,UNAM,1
Coahuila,Las Noas,1
Coahuila,Cañón de San Lorenzo,1
Coahuila,Cañón del Indio,1
Coahuila,Piedritas-Altamira,1
Coahuila,Cerro del Frentón,1
Colima,Juluapan Boulder,1
Colima,Peñas de Tepames,1
Durango,Los Balcones,1
Durango,La Presa-Cañón de Fernandez,1
Durango,Dinamita,1
Durango,Parque La Pirámide,1
Durango,Chupaderos,1
Durango,Parque Bayacora,1
Estado de México,Aculco,1
Estado de México,Las Manzanas,1
Estado de México,Jilotepec,1
Estado de México,Valle de Bravo,1
Estado de México,Parque Matlazincas,1
Estado de México,Las Mesas,1
Estado de México,Calixtlahuaca,1
Estado de México,Texcoco-San Pablo Ixayoc,1
Estado de México,Salazar,1
Estado de México,Los Remedios,1
Guanajuato,La Bufa,1
Guanajuato,Alcocer,1
Guanajuato,Peña Sola,1
Guanajuato,Santa Rosa,1
Guanajuato,Cañada del Gigante,1
Guerrero,La Chonta-El Hoyanco,1
Hidalgo,Xolostitla,1
Hidalgo,Actopan,1
Hidalgo,Mineral del Chico,1
Hidalgo,Huasca de Ocampo,1
Hidalgo,Omitlán,1
Hidalgo,San Juan Tizahuapan,1
Jalisco,Ixcatán,1
Jalisco,La Hidro,1
Jalisco,Tepopote,1
Jalisco,Las Peñas,1
Jalisco,Huilotán,1
Jalisco,El Cuajo,1
Jalisco,Los Desplomes,1
Jalisco,El Diente,1
Michoacán,El Oasis,1
Morelos,Huitzilac,1
Morelos,Meztitla-El Dado,1
Morelos,Chalcatzingo,1
Nayarit,Higuera Crag,1
Nayarit,Guayacrag,1
Nuevo León,Cañon de las Escaleras,1
Nuevo León,Potrero Chico,1
Nuevo León,La Huasteca,1
Nuevo León,Grutas de García,1
Nuevo León,Las Ventanas,1
Nuevo León,Sierra Picachos,1
Nuevo León,Cueva de Cumbia,1
Nuevo León,Culo de Gato,1
Nuevo León,Pico Pirineos,1
Nuevo León,El Salto,1
Nuevo León,Puente de Dios,1
Nuevo León,El Diente Monterrey,1
Nuevo León,Cerro Agujerado,1
Oaxaca,Peña Colorada,1
Oaxaca,La Meca,1
Oaxaca,San Sebastian Tutla,1
Oaxaca,Yagul,1
Puebla,Apulco,1
Puebla,El Caño,1
Puebla,Cueva de Tonantzintla,1
Puebla,San Pancho,1
Puebla,Los Pericos,1
Puebla,El Paraíso,1
Puebla,El Texistle,1
Querétaro,Peña del cuervo,1
Querétaro,La Cañada,1
Querétaro,Barranca de los Pilones,1
Querétaro,El Doctor,1
Querétaro,San José Tepuzas,1
Querétaro,Peña de Bernal,1
Querétaro,Santa Rosa Xajay,1
Quintana Roo,Varios Cenotes,1
Quintana Roo,Cenote Parque de La Madre,1
Quintana Roo,Cenote Rancho Viejo,1
San Luis Potosí,Cueva del Salitre,1
San Luis Potosí,El Peaje,1
San Luis Potosí,Presa San Jose-Las Lilys,1
San Luis Potosí,El Potosí,1
San Luis Potosí,Guadalcázar,1
Sinaloa,Cerro Cabezón,1
Sonora,Cruz del Diablo,1
Sonora,El Reliz-Cerro de las Víboras,1
Sonora,Cerro de La Cementera,1
Tabasco,Las Flores,1
Tabasco,Cascadas de Agua Blanca,1
Tabasco,Agua Selva,1
Tamaulipas,Reserva de la Biósfera El Cielo,1
Tamaulipas,Cerro El Bernal,1
Tamaulipas,Cañon de la Servilleta,1
Tamaulipas,Sierra de San Carlos,1
Tlaxcala,San Mateo Huexoyucan,1
Tlaxcala,Cuatlapanga,1
Tlaxcala,Atlihuetzia,1
Tlaxcala,El Quesito,1
Tlaxcala,Huiloapan,1
Tlaxcala,Acopinalco del Peñón,1
Veracruz,Santa Catarina-Río Blanco,1
Veracruz,Cueva del Sol y la Luna,1
Veracruz,Cerro Brujo,1
Veracruz,Rocatec,1
Veracruz,Cuevas de Mapaxtla,1
Veracruz,Miradores del Mar,1
Yucatán,Grutas de Calcehtok,1
Yucatán,Zavala,1
Yucatán,Camp Two Lands,1
Yucatán,Uayalceh,1
Yucatán,Ticul,1
Yucatán,Cenote Nah Yah,1
Zacatecas,La Peñuela,1
Zacatecas,Linares,1
Zacatecas,Las Antenas,1
Zacatecas,Cueva de las Goteras,1
